Time	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
27	22.49	22.48	22.43	22.33	22.11	22.41	22.46	22.41
28	22.48	22.47	22.42	22.33	22.11	22.41	22.45	22.39
29	22.48	22.48	22.44	22.33	22.11	22.41	22.45	22.41
30	22.48	22.48	22.43	22.33	22.12	22.41	22.45	22.41
31	22.48	22.48	22.44	22.33	22.11	22.41	22.45	22.41
32	22.49	22.48	22.44	22.33	22.12	22.41	22.45	22.39
33	22.48	22.47	22.44	22.33	22.11	22.41	22.45	22.41
34	22.49	22.48	22.44	22.33	22.11	22.41	22.44	22.41
35	22.49	22.48	22.44	22.33	22.11	22.41	22.46	22.41
36	22.50	22.48	22.43	22.32	22.12	22.41	22.45	22.40
37	22.49	22.48	22.43	22.33	22.11	22.40	22.45	22.41
38	22.49	22.48	22.43	22.33	22.11	22.40	22.45	22.39
39	22.49	22.48	22.44	22.33	22.11	22.41	22.44	22.39
40	22.49	22.48	22.43	22.33	22.11	22.41	22.45	22.39
41	22.50	22.48	22.44	22.33	22.12	22.41	22.45	22.39
42	22.50	22.48	22.44	22.33	22.12	22.41	22.45	22.39
43	22.49	22.48	22.44	22.32	22.12	22.41	22.44	22.37
44	22.49	22.48	22.45	22.34	22.12	22.41	22.45	22.38
45	22.49	22.48	22.44	22.34	22.12	22.40	22.44	22.40
46	22.50	22.48	22.44	22.34	22.12	22.41	22.44	22.40
47	22.48	22.47	22.44	22.33	22.12	22.41	22.44	22.41
48	22.50	22.48	22.43	22.33	22.12	22.40	22.45	22.41
49	22.49	22.48	22.45	22.33	22.13	22.41	22.46	22.44
50	22.49	22.48	22.44	22.33	22.12	22.41	22.47	22.43
51	22.49	22.48	22.45	22.33	22.13	22.41	22.48	22.45
52	22.49	22.48	22.44	22.34	22.12	22.41	22.46	22.45
53	22.49	22.48	22.44	22.33	22.12	22.41	22.46	22.45
54	22.49	22.48	22.44	22.33	22.13	22.41	22.46	22.45
55	22.49	22.48	22.44	22.34	22.12	22.42	22.47	22.45
56	22.49	22.49	22.44	22.34	22.13	22.42	22.48	22.44
57	22.49	22.49	22.44	22.33	22.13	22.41	22.47	22.45
58	22.49	22.49	22.44	22.34	22.13	22.42	22.47	22.45
59	22.49	22.48	22.44	22.33	22.13	22.41	22.46	22.43
60	22.49	22.48	22.44	22.34	22.13	22.41	22.46	22.44
61	22.49	22.48	22.44	22.34	22.13	22.41	22.46	22.46
62	22.49	22.49	22.45	22.35	22.13	22.41	22.46	22.47
63	22.49	22.49	22.45	22.35	22.13	22.42	22.47	22.44
64	22.49	22.48	22.44	22.34	22.14	22.42	22.47	22.45
65	22.50	22.48	22.44	22.34	22.12	22.41	22.46	22.45
66	22.48	22.47	22.43	22.33	22.11	22.41	22.47	22.46
67	22.48	22.47	22.43	22.34	22.12	22.41	22.47	22.48
68	22.49	22.48	22.45	22.35	22.12	22.42	22.48	22.47
69	22.48	22.48	22.44	22.35	22.13	22.41	22.48	22.46
70	22.50	22.47	22.45	22.35	22.12	22.41	22.47	22.46
71	22.49	22.48	22.45	22.35	22.13	22.42	22.47	22.43
72	22.50	22.48	22.45	22.35	22.13	22.42	22.47	22.42
73	22.49	22.49	22.45	22.35	22.12	22.42	22.47	22.41
74	22.50	22.49	22.45	22.34	22.13	22.42	22.46	22.40
75	22.50	22.48	22.45	22.34	22.12	22.41	22.46	22.40
76	22.49	22.49	22.45	22.34	22.13	22.42	22.45	22.41
77	22.50	22.49	22.45	22.34	22.12	22.42	22.46	22.41
78	22.51	22.49	22.45	22.34	22.13	22.42	22.46	22.40
79	22.51	22.49	22.45	22.35	22.13	22.42	22.47	22.41
80	22.52	22.50	22.45	22.35	22.13	22.42	22.47	22.41
81	22.51	22.49	22.46	22.35	22.13	22.42	22.47	22.41
82	22.51	22.49	22.45	22.35	22.12	22.42	22.46	22.41
83	22.51	22.49	22.45	22.35	22.13	22.42	22.47	22.43
84	22.52	22.49	22.45	22.35	22.13	22.42	22.47	22.42
85	22.54	22.50	22.46	22.36	22.13	22.42	22.47	22.42
86	22.57	22.50	22.45	22.35	22.13	22.42	22.47	22.42
87	22.62	22.51	22.45	22.35	22.14	22.43	22.48	22.42
88	22.67	22.52	22.45	22.35	22.14	22.43	22.47	22.42
89	22.70	22.55	22.45	22.35	22.13	22.43	22.48	22.42
90	22.77	22.56	22.45	22.35	22.13	22.43	22.47	22.43
91	22.83	22.59	22.45	22.34	22.13	22.42	22.47	22.42
92	22.89	22.61	22.45	22.34	22.14	22.42	22.49	22.42
93	22.97	22.65	22.45	22.34	22.13	22.42	22.48	22.44
94	23.06	22.69	22.45	22.34	22.14	22.42	22.48	22.44
95	23.19	22.75	22.45	22.35	22.13	22.43	22.49	22.44
96	23.35	22.84	22.46	22.35	22.14	22.43	22.49	22.45
97	23.46	22.89	22.46	22.35	22.13	22.41	22.48	22.46
98	23.58	22.96	22.46	22.36	22.14	22.43	22.49	22.46
99	23.70	23.02	22.47	22.37	22.15	22.44	22.49	22.46
100	23.83	23.08	22.47	22.36	22.14	22.43	22.49	22.44
101	23.96	23.17	22.49	22.36	22.14	22.43	22.49	22.46
102	24.09	23.24	22.49	22.35	22.14	22.43	22.48	22.48
103	24.24	23.32	22.49	22.35	22.14	22.42	22.49	22.47
104	24.46	23.45	22.51	22.36	22.15	22.43	22.50	22.47
105	24.68	23.60	22.52	22.37	22.15	22.43	22.49	22.46
106	24.83	23.68	22.54	22.37	22.15	22.43	22.50	22.46
107	24.97	23.80	22.55	22.36	22.15	22.43	22.49	22.45
108	25.14	23.90	22.58	22.37	22.14	22.43	22.48	22.43
109	25.30	23.98	22.58	22.35	22.14	22.43	22.48	22.43
110	25.47	24.11	22.61	22.37	22.15	22.43	22.48	22.44
111	25.64	24.21	22.62	22.36	22.14	22.42	22.49	22.43
112	25.74	24.28	22.63	22.36	22.14	22.43	22.49	22.40
113	25.94	24.47	22.67	22.36	22.15	22.43	22.48	22.40
114	26.18	24.63	22.70	22.35	22.14	22.43	22.47	22.42
115	26.34	24.75	22.73	22.36	22.14	22.42	22.47	22.42
116	26.54	24.88	22.75	22.36	22.14	22.43	22.47	22.44
117	26.74	25.02	22.79	22.36	22.14	22.43	22.47	22.43
118	26.94	25.16	22.81	22.35	22.14	22.42	22.47	22.43
119	27.12	25.29	22.84	22.35	22.14	22.43	22.47	22.45
120	27.29	25.40	22.86	22.36	22.13	22.42	22.47	22.44
121	27.40	25.49	22.89	22.36	22.14	22.43	22.48	22.44
122	27.64	25.70	22.95	22.37	22.14	22.44	22.48	22.46
123	27.89	25.92	23.01	22.37	22.14	22.43	22.49	22.46
124	28.11	26.07	23.04	22.37	22.14	22.43	22.49	22.46
125	28.32	26.21	23.09	22.37	22.14	22.43	22.48	22.47
126	28.50	26.35	23.14	22.38	22.16	22.43	22.48	22.45
127	28.68	26.49	23.18	22.39	22.15	22.43	22.48	22.44
128	28.79	26.59	23.22	22.38	22.15	22.43	22.48	22.45
129	28.89	26.73	23.25	22.38	22.14	22.43	22.48	22.46
130	29.11	26.89	23.30	22.39	22.15	22.43	22.50	22.48
131	29.42	27.09	23.36	22.39	22.15	22.43	22.48	22.48
132	29.70	27.32	23.43	22.40	22.14	22.42	22.49	22.47
133	29.89	27.45	23.45	22.39	22.14	22.42	22.49	22.44
134	30.02	27.49	23.49	22.40	22.14	22.42	22.48	22.45
135	30.06	27.59	23.56	22.40	22.14	22.43	22.49	22.46
136	30.16	27.73	23.62	22.42	22.14	22.43	22.49	22.45
137	30.32	27.89	23.67	22.42	22.14	22.43	22.49	22.44
138	30.54	28.10	23.74	22.42	22.15	22.44	22.50	22.45
139	30.75	28.28	23.80	22.43	22.16	22.43	22.49	22.45
140	31.05	28.50	23.86	22.44	22.15	22.43	22.50	22.44
141	31.39	28.73	23.94	22.44	22.15	22.43	22.49	22.45
142	31.57	28.86	24.00	22.44	22.15	22.44	22.49	22.45
143	31.73	28.98	24.04	22.45	22.15	22.44	22.49	22.44
144	31.90	29.06	24.05	22.45	22.15	22.44	22.48	22.45
145	32.03	29.20	24.14	22.46	22.16	22.43	22.49	22.45
146	32.22	29.28	24.21	22.46	22.15	22.43	22.49	22.47
147	32.34	29.44	24.28	22.48	22.15	22.43	22.49	22.44
148	32.46	29.63	24.36	22.48	22.15	22.44	22.48	22.44
149	32.77	29.88	24.46	22.50	22.16	22.43	22.48	22.45
150	33.00	30.08	24.52	22.50	22.16	22.43	22.48	22.44
151	33.12	30.25	24.59	22.49	22.15	22.43	22.49	22.43
152	33.31	30.38	24.64	22.51	22.17	22.44	22.49	22.43
153	33.50	30.46	24.66	22.51	22.16	22.44	22.48	22.43
154	33.66	30.63	24.73	22.52	22.15	22.43	22.48	22.43
155	33.69	30.64	24.76	22.52	22.16	22.43	22.48	22.43
156	33.70	30.83	24.83	22.53	22.15	22.43	22.48	22.44
157	33.84	31.03	24.92	22.55	22.15	22.43	22.48	22.43
158	34.04	31.22	25.01	22.57	22.16	22.44	22.48	22.43
159	34.22	31.37	25.12	22.58	22.15	22.43	22.47	22.44
160	34.43	31.55	25.17	22.59	22.15	22.43	22.47	22.45
161	34.59	31.75	25.27	22.60	22.15	22.43	22.47	22.46
162	34.83	31.90	25.37	22.62	22.16	22.43	22.48	22.45
163	35.03	32.02	25.45	22.64	22.16	22.43	22.48	22.43
164	35.27	32.19	25.53	22.64	22.16	22.43	22.46	22.41
165	35.48	32.35	25.58	22.64	22.16	22.43	22.47	22.41
166	35.67	32.43	25.55	22.64	22.16	22.44	22.46	22.41
167	35.95	32.67	25.62	22.67	22.17	22.44	22.47	22.40
168	35.93	32.74	25.77	22.70	22.17	22.45	22.47	22.40
169	36.13	32.95	25.88	22.70	22.16	22.43	22.46	22.39
170	36.35	33.13	25.97	22.70	22.17	22.44	22.46	22.38
171	36.55	33.28	26.03	22.70	22.17	22.44	22.46	22.39
172	36.73	33.40	26.07	22.71	22.17	22.44	22.46	22.38
173	36.88	33.51	26.17	22.71	22.18	22.44	22.44	22.35
174	36.99	33.64	26.23	22.71	22.17	22.43	22.44	22.35
175	37.16	33.77	26.28	22.72	22.17	22.44	22.43	22.34
176	37.40	33.95	26.35	22.72	22.17	22.43	22.43	22.34
177	37.63	34.11	26.48	22.78	22.17	22.43	22.43	22.36
178	37.77	34.27	26.52	22.79	22.19	22.44	22.43	22.36
179	37.91	34.41	26.49	22.79	22.17	22.43	22.42	22.36
180	37.97	34.49	26.54	22.81	22.19	22.43	22.43	22.38
181	37.98	34.56	26.64	22.83	22.19	22.44	22.43	22.38
182	38.11	34.70	26.69	22.85	22.19	22.43	22.42	22.39
183	38.21	34.87	26.76	22.87	22.20	22.44	22.44	22.40
184	38.29	34.86	26.90	22.90	22.20	22.44	22.43	22.39
185	38.19	34.89	27.03	22.95	22.22	22.44	22.44	22.37
186	38.33	35.06	27.14	22.97	22.22	22.44	22.43	22.36
187	38.51	35.33	27.24	22.96	22.22	22.43	22.43	22.38
188	38.76	35.56	27.32	22.98	22.23	22.44	22.44	22.38
189	38.75	35.62	27.44	23.00	22.24	22.44	22.44	22.39
190	38.77	35.64	27.51	23.02	22.23	22.44	22.43	22.40
191	38.78	35.63	27.55	23.02	22.25	22.44	22.45	22.40
192	38.81	35.86	27.60	23.07	22.26	22.45	22.45	22.41
193	39.01	36.04	27.70	23.09	22.27	22.45	22.45	22.40
194	39.41	36.45	27.81	23.10	22.26	22.45	22.45	22.41
195	39.92	36.67	27.90	23.12	22.27	22.45	22.45	22.40
196	40.19	36.88	28.01	23.15	22.28	22.45	22.45	22.41
197	40.31	37.04	28.07	23.18	22.28	22.45	22.45	22.40
198	40.57	37.04	28.12	23.17	22.28	22.45	22.45	22.40
199	40.59	36.99	28.25	23.16	22.29	22.45	22.44	22.41
200	40.48	37.02	28.33	23.20	22.30	22.46	22.45	22.41
201	40.51	37.23	28.42	23.25	22.30	22.46	22.46	22.40
202	40.87	37.47	28.40	23.27	22.31	22.46	22.46	22.40
203	41.20	37.57	28.56	23.32	22.32	22.46	22.46	22.42
204	41.42	37.90	28.68	23.34	22.34	22.46	22.45	22.44
205	41.64	38.11	28.70	23.36	22.34	22.46	22.46	22.43
206	41.82	38.21	28.68	23.38	22.35	22.47	22.46	22.41
207	41.78	38.14	28.69	23.40	22.36	22.47	22.45	22.39
208	41.71	38.24	28.86	23.40	22.37	22.47	22.45	22.38
209	41.69	38.38	29.03	23.42	22.36	22.47	22.45	22.37
210	41.90	38.61	29.06	23.46	22.38	22.47	22.46	22.38
211	42.24	38.82	29.10	23.52	22.38	22.47	22.45	22.37
212	42.60	39.03	29.29	23.51	22.40	22.47	22.45	22.40
213	42.73	39.07	29.41	23.54	22.41	22.48	22.47	22.40
214	42.73	39.19	29.54	23.55	22.41	22.48	22.46	22.41
215	42.91	39.31	29.49	23.50	22.41	22.48	22.47	22.41
216	42.84	39.25	29.48	23.49	22.41	22.48	22.46	22.41
217	43.02	39.49	29.38	23.49	22.42	22.48	22.47	22.42
218	43.26	39.42	29.55	23.50	22.43	22.48	22.47	22.41
219	43.42	39.66	29.64	23.54	22.45	22.49	22.47	22.40
220	43.32	39.69	29.67	23.61	22.46	22.49	22.47	22.41
221	43.40	40.07	29.97	23.69	22.46	22.49	22.46	22.39
222	43.77	40.33	30.07	23.67	22.46	22.49	22.46	22.39
223	44.04	40.45	29.98	23.70	22.47	22.49	22.45	22.39
224	44.15	40.39	29.98	23.75	22.48	22.49	22.46	22.40
225	44.03	40.31	30.09	23.79	22.49	22.49	22.46	22.39
226	44.10	40.59	30.29	23.80	22.51	22.50	22.46	22.38
227	44.28	40.86	30.45	23.80	22.53	22.50	22.46	22.39
228	44.59	41.01	30.51	23.78	22.53	22.51	22.45	22.38
229	44.75	40.92	30.39	23.77	22.54	22.51	22.46	22.38
230	44.84	40.89	30.37	23.78	22.55	22.51	22.45	22.38
231	45.07	41.20	30.59	23.81	22.56	22.51	22.45	22.39
232	45.30	41.31	30.57	23.85	22.58	22.52	22.45	22.39
233	45.50	41.43	30.66	23.90	22.60	22.52	22.45	22.36
234	45.66	41.61	30.74	23.95	22.60	22.52	22.46	22.37
235	45.81	41.75	30.89	23.99	22.63	22.53	22.47	22.39
236	45.98	41.97	31.13	24.06	22.63	22.53	22.46	22.39
237	46.13	42.09	31.30	24.15	22.65	22.52	22.47	22.40
238	46.26	42.21	31.39	24.23	22.66	22.53	22.47	22.39
239	46.40	42.38	31.58	24.33	22.67	22.54	22.47	22.40
240	46.54	42.53	31.68	24.32	22.66	22.54	22.46	22.38
241	46.59	42.63	31.73	24.22	22.68	22.54	22.47	22.39
242	46.76	42.71	31.74	24.18	22.68	22.55	22.46	22.40
243	46.88	42.82	31.70	24.17	22.68	22.55	22.47	22.39
244	46.98	42.71	31.58	24.16	22.69	22.56	22.47	22.39
245	46.84	42.73	31.53	24.24	22.70	22.55	22.47	22.40
246	46.55	42.54	31.64	24.33	22.73	22.55	22.47	22.40
247	46.49	42.63	31.81	24.40	22.73	22.56	22.47	22.40
248	46.80	43.12	32.14	24.40	22.75	22.56	22.47	22.37
249	47.27	43.41	32.35	24.42	22.77	22.57	22.47	22.38
250	47.50	43.62	32.43	24.41	22.77	22.56	22.47	22.39
251	47.69	43.71	32.31	24.41	22.79	22.57	22.47	22.40
252	47.68	43.81	32.35	24.46	22.80	22.58	22.48	22.41
253	47.71	43.68	32.35	24.51	22.81	22.58	22.48	22.41
254	47.41	43.59	32.54	24.54	22.83	22.59	22.49	22.42
255	47.45	43.88	32.53	24.57	22.84	22.59	22.50	22.44
256	47.46	43.80	32.67	24.66	22.87	22.60	22.51	22.45
257	47.67	44.09	32.87	24.73	22.90	22.60	22.51	22.43
258	48.00	44.36	32.96	24.63	22.89	22.60	22.49	22.38
259	48.31	44.59	32.98	24.68	22.88	22.61	22.48	22.38
260	48.53	44.59	33.10	24.68	22.88	22.61	22.48	22.38
261	48.66	44.74	33.13	24.66	22.90	22.61	22.48	22.38
262	48.75	44.86	33.07	24.69	22.92	22.62	22.49	22.38
263	48.92	44.97	33.21	24.70	22.93	22.62	22.48	22.36
264	49.05	45.04	33.18	24.75	22.94	22.62	22.48	22.35
265	49.18	45.17	33.38	24.86	22.96	22.62	22.47	22.34
266	49.36	45.32	33.60	24.88	22.97	22.63	22.47	22.34
267	49.52	45.40	33.58	24.96	22.99	22.64	22.47	22.35
268	49.55	45.33	33.54	24.98	23.01	22.64	22.47	22.34
269	49.44	45.39	33.74	24.99	23.02	22.65	22.47	22.36
270	49.69	45.65	33.86	25.10	23.04	22.65	22.48	22.37
271	49.85	45.72	33.85	25.14	23.04	22.65	22.49	22.36
272	49.55	45.47	33.77	25.13	23.07	22.65	22.48	22.34
273	49.61	45.55	33.67	25.13	23.07	22.66	22.49	22.35
274	49.78	45.80	33.84	25.04	23.09	22.67	22.50	22.34
275	50.17	46.17	34.07	25.08	23.12	22.67	22.50	22.35
276	50.51	46.36	34.35	25.26	23.15	22.68	22.50	22.36
277	50.64	46.49	34.38	25.28	23.18	22.69	22.51	22.39
278	50.72	46.59	34.40	25.28	23.19	22.70	22.51	22.39
279	50.79	46.66	34.41	25.33	23.20	22.70	22.52	22.38
280	50.82	46.77	34.39	25.30	23.22	22.71	22.52	22.37
281	50.95	46.85	34.34	25.26	23.22	22.71	22.51	22.38
282	51.01	46.91	34.45	25.22	23.22	22.72	22.52	22.38
283	51.01	46.87	34.32	25.23	23.23	22.73	22.52	22.38
284	50.93	46.92	34.75	25.33	23.25	22.73	22.52	22.37
285	51.16	47.23	34.89	25.42	23.25	22.74	22.51	22.38
286	51.32	47.30	34.73	25.36	23.26	22.74	22.52	22.39
287	51.42	47.33	34.84	25.33	23.26	22.74	22.52	22.39
288	51.51	47.40	34.93	25.34	23.29	22.75	22.53	22.40
289	51.63	47.52	34.86	25.36	23.30	22.75	22.54	22.39
290	51.48	47.30	34.85	25.37	23.31	22.76	22.53	22.41
291	51.56	47.62	35.16	25.41	23.32	22.77	22.54	22.40
292	51.76	47.84	35.34	25.45	23.34	22.77	22.54	22.40
293	52.00	48.02	35.47	25.58	23.37	22.78	22.53	22.39
294	52.22	48.15	35.68	25.74	23.38	22.78	22.55	22.39
295	52.33	48.23	35.63	25.74	23.41	22.79	22.54	22.35
296	52.45	48.25	35.47	25.76	23.43	22.80	22.54	22.35
297	52.28	47.97	35.55	25.75	23.45	22.80	22.53	22.37
298	52.39	48.24	35.81	25.75	23.46	22.80	22.55	22.39
299	52.60	48.45	35.83	25.77	23.50	22.82	22.56	22.40
300	52.42	48.40	35.80	25.88	23.54	22.82	22.57	22.41
301	52.44	48.65	35.75	26.00	23.55	22.83	22.57	22.40
302	52.57	48.85	36.00	26.09	23.57	22.83	22.58	22.42
303	52.92	49.03	36.15	26.02	23.59	22.85	22.60	22.43
304	53.09	49.05	36.12	25.98	23.59	22.85	22.60	22.43
305	53.18	48.91	36.22	25.98	23.63	22.85	22.61	22.45
306	53.33	49.21	36.22	26.03	23.65	22.87	22.62	22.46
307	53.44	49.36	36.38	26.01	23.66	22.87	22.63	22.46
308	53.28	49.44	36.23	26.04	23.66	22.87	22.63	22.46
309	53.45	49.46	36.34	26.15	23.69	22.89	22.63	22.47
310	53.36	49.55	36.63	26.31	23.70	22.90	22.64	22.46
311	53.73	49.81	36.63	26.36	23.74	22.90	22.64	22.47
312	53.98	49.81	36.69	26.24	23.77	22.92	22.64	22.45
313	53.68	49.86	36.91	26.31	23.80	22.92	22.64	22.46
314	53.89	49.92	36.85	26.26	23.83	22.92	22.63	22.45
315	54.03	49.92	36.97	26.29	23.83	22.94	22.65	22.47
316	54.26	50.12	37.16	26.38	23.84	22.94	22.65	22.46
317	54.26	50.19	37.19	26.31	23.87	22.95	22.65	22.44
318	54.33	50.41	37.00	26.34	23.87	22.95	22.64	22.43
319	54.49	50.43	37.24	26.35	23.88	22.95	22.65	22.44
320	54.66	50.57	37.25	26.51	23.89	22.97	22.65	22.43
321	54.88	50.74	37.47	26.64	23.88	22.97	22.64	22.42
322	54.97	50.68	37.66	26.65	23.91	22.98	22.65	22.43
323	54.58	50.54	37.60	26.72	23.92	22.99	22.64	22.43
324	54.79	50.83	37.65	26.63	23.93	22.99	22.66	22.43
325	55.03	51.02	37.66	26.48	23.93	23.01	22.66	22.43
326	55.21	51.11	37.59	26.48	23.94	23.00	22.64	22.43
327	55.31	51.14	37.66	26.55	23.97	23.02	22.65	22.41
328	55.40	51.17	37.69	26.60	23.97	23.02	22.65	22.43
329	54.99	50.84	37.98	26.73	24.03	23.03	22.66	22.43
330	54.83	51.14	38.23	26.69	24.06	23.04	22.65	22.42
331	55.27	51.42	38.34	26.83	24.06	23.05	22.66	22.42
332	55.52	51.56	38.38	26.84	24.08	23.06	22.67	22.42
333	55.69	51.65	38.28	26.88	24.10	23.07	22.68	22.44
334	55.81	51.74	38.13	26.91	24.13	23.07	22.69	22.46
335	55.89	51.78	38.31	26.93	24.16	23.08	22.69	22.46
336	55.95	51.83	38.31	27.00	24.19	23.09	22.70	22.47
337	55.63	51.54	38.26	27.10	24.23	23.09	22.70	22.46
338	55.10	51.50	38.10	27.23	24.28	23.11	22.71	22.47
339	54.70	51.30	38.19	27.33	24.31	23.12	22.72	22.46
340	54.80	51.70	38.59	27.19	24.34	23.13	22.72	22.44
341	54.74	51.77	38.80	27.28	24.36	23.13	22.71	22.41
342	55.27	52.15	38.58	27.20	24.39	23.14	22.71	22.42
343	55.34	51.98	38.54	27.13	24.38	23.14	22.72	22.41
344	55.13	52.27	38.57	26.97	24.36	23.16	22.72	22.44
345	55.56	52.57	38.76	26.88	24.33	23.17	22.72	22.40
346	55.80	52.75	38.96	26.97	24.36	23.18	22.72	22.40
347	56.31	52.72	39.01	27.15	24.36	23.19	22.72	22.42
348	56.69	52.96	38.73	27.07	24.37	23.20	22.74	22.45
349	56.86	52.96	38.69	27.03	24.40	23.21	22.75	22.44
350	56.79	52.74	38.65	27.13	24.43	23.21	22.74	22.43
351	56.30	52.60	38.91	27.18	24.45	23.21	22.75	22.44
352	56.40	52.81	39.05	27.30	24.45	23.22	22.75	22.41
353	56.71	53.08	39.12	27.27	24.46	23.24	22.77	22.41
354	56.76	53.02	39.24	27.31	24.47	23.24	22.76	22.41
355	56.92	53.33	39.36	27.27	24.47	23.24	22.76	22.39
356	57.37	53.54	39.62	27.28	24.50	23.26	22.78	22.41
357	57.69	53.68	39.38	27.24	24.56	23.27	22.79	22.37
358	57.82	53.69	39.24	27.28	24.59	23.27	22.79	22.39
359	57.46	53.64	39.54	27.29	24.61	23.29	22.80	22.40
360	57.19	53.67	39.85	27.42	24.62	23.30	22.79	22.41
361	57.53	53.93	40.06	27.55	24.64	23.31	22.80	22.43
362	57.83	54.05	40.25	27.45	24.68	23.31	22.80	22.42
363	58.02	54.17	40.11	27.55	24.68	23.33	22.81	22.43
364	58.12	54.32	40.29	27.68	24.72	23.34	22.82	22.44
365	58.35	54.36	40.52	27.62	24.73	23.35	22.83	22.44
366	58.32	54.35	40.40	27.70	24.76	23.35	22.84	22.43
367	58.38	54.08	39.96	27.84	24.80	23.37	22.85	22.42
368	58.05	53.61	39.72	28.00	24.85	23.38	22.85	22.43
369	57.55	53.42	39.88	28.01	24.85	23.40	22.86	22.43
370	57.47	54.04	40.12	28.00	24.84	23.41	22.87	22.43
371	57.99	54.18	40.39	28.01	24.86	23.41	22.87	22.45
372	58.22	54.48	40.16	27.96	24.90	23.42	22.88	22.46
373	58.55	54.41	40.53	27.97	24.94	23.43	22.88	22.45
374	58.88	54.63	40.84	28.09	25.01	23.44	22.89	22.46
375	59.22	55.03	41.01	28.20	25.11	23.45	22.87	22.44
376	59.31	54.99	41.19	28.25	25.15	23.47	22.88	22.44
377	59.40	55.21	41.34	28.35	25.15	23.47	22.90	22.45
378	59.06	55.32	41.40	28.40	25.20	23.48	22.90	22.45
379	58.75	55.25	41.44	28.43	25.22	23.50	22.91	22.45
380	58.47	55.09	41.50	28.55	25.23	23.52	22.94	22.46
381	58.26	55.36	41.52	28.66	25.20	23.52	22.93	22.43
382	58.76	55.65	41.64	28.79	25.20	23.52	22.93	22.43
383	59.35	55.81	41.61	28.58	25.19	23.53	22.93	22.42
384	59.70	55.76	41.69	28.28	25.21	23.55	22.93	22.42
385	59.42	55.68	41.55	28.12	25.18	23.56	22.95	22.41
386	59.54	55.91	41.59	28.03	25.16	23.57	22.95	22.41
387	59.76	55.99	41.70	28.02	25.14	23.57	22.97	22.43
388	60.00	55.99	41.73	28.03	25.16	23.58	22.97	22.40
389	60.14	56.05	41.30	28.14	25.19	23.60	22.98	22.37
390	60.24	55.99	41.26	28.12	25.23	23.61	22.99	22.35
391	60.31	55.97	41.14	28.04	25.30	23.63	23.01	22.34
392	59.43	55.23	40.97	28.08	25.42	23.65	23.02	22.39
393	58.91	55.16	40.98	28.40	25.49	23.67	23.03	22.45
394	58.74	55.55	41.46	28.61	25.50	23.67	23.04	22.46
395	59.32	56.06	41.78	28.53	25.45	23.67	23.03	22.44
396	59.85	56.40	42.02	28.46	25.49	23.68	23.03	22.46
397	60.21	56.53	41.93	28.46	25.52	23.69	23.03	22.47
398	60.34	56.19	41.86	28.52	25.53	23.70	23.03	22.47
399	60.21	56.31	42.09	28.68	25.54	23.71	23.04	22.47
400	60.53	56.61	42.10	28.64	25.53	23.73	23.07	22.47
401	60.86	56.77	41.89	28.67	25.54	23.74	23.07	22.46
402	61.03	56.85	41.64	28.85	25.54	23.75	23.07	22.47
403	61.14	56.84	41.79	29.00	25.58	23.75	23.07	22.48
404	61.26	57.03	42.14	28.99	25.60	23.77	23.09	22.45
405	61.39	57.19	42.41	29.00	25.65	23.78	23.09	22.43
406	61.33	56.98	42.22	29.04	25.70	23.79	23.09	22.43
